
2025/02/17 (13:28:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (13:28:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (13:32:59) | ===> btop++ v.1.4.0
2025/02/17 (13:32:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (13:32:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (13:34:14) | ===> btop++ v.1.4.0
2025/02/17 (13:34:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (13:34:14) | WARNING: Intel GPU: Failed to initialize PMU
